taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,NG-NA,NG-ND,NG-NNum,NG-NRc,NA-ND,NA-NNum,NA-NRc,ND-NNum,ND-NRc,NNum-NRc
NDa.NAKH.INGUSH,-,a,a,a,a,a,b,-,-,-,-,-,-,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Zap.ZAPAROAN.IQUITO,b,a,a,b,a,a,-,c,c,d,c,c,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
AA.SOUTHERN_CUSHITIC.IRAQW,a,b,b,b,b,b,a,b,b,b,b,b,a,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AA.SOUTHERN_CUSHITIC.IRAQW_2,a,b,b,b,b,b,a,b,b,b,b,b,a,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AA.SEMITIC.IRAQ_MUSLIM_BAGHDAD_ARABIC,b,b,b,b,-,a,a,d,d,d,-,c,c,d,d,-,c,c,d,-,c,c,-,c,c,-,-,a
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.IRARUTU,b,b,a,b,b,b,-,d,c,d,d,d,-,c,d,d,d,-,b,b,b,-,d,d,-,d,-,-
IE.CELTIC.IRISH_GAELIC,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Sko.KRISA.ISAKA,a,-,b,b,b,b,a,-,b,b,b,b,a,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.ISANGU,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
IE.IRANIAN.ISHKOMAN_WAKHI,a,-,a,a,a,a,a,-,a,a,a,a,a,-,-,-,-,-,a,a,a,a,a,a,a,a,a,a
OM.ZAPOTECAN.ISTHMUS_ZAPOTEC,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
IE.ROMANCE.ITALIAN,-,-,-,-,-,-,-,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
IE.ROMANCE.ITALIAN_GROSSETO_TUSCAN,-,-,-,-,-,-,-,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
Iwa.IWAIDJAN.IWAIDJA,b,-,a,a,a,a,-,-,c,c,c,c,-,-,-,-,-,-,a,a,a,-,a,a,-,a,-,-
NC.BANTOID.IWUM_WUUMBU_1,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.IWUM_WUUMBU_2,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
Ijo.IJOID.IZON,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
NC.BANTOID.J13_NKORE_HIMA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.J15_GANDA,-,b,b,b,b,b,a,-,-,-,-,-,-,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.JABEM,b,-,a,b,b,b,a,-,c,d,d,d,c,-,-,-,-,-,b,b,b,a,d,d,c,d,c,c
AuA.MUNDA.JABRI_SANTALI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.LAMPUNGIC.JABUNG_LAMPUNG_API,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
IE.INDIC.JALKOT_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
IE.GERMANIC.JAMTLANDIC,b,b,a,a,a,a,a,d,c,c,c,c,c,c,c,c,c,c,a,a,a,a,a,a,a,a,a,a
Jap.JAPANESE.JAPANESE,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Jap.JAPANESE.JAPANESE_2,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Jap.JAPANESE.JAPANESE_KYOTO,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
IE.INDIC.JELIL_CHILAS_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
ST.BAI.JIANCHUAN_BAI,b,-,a,a,b,b,b,-,c,c,d,d,d,-,-,-,-,-,a,b,b,b,b,b,b,d,d,d
ST.BAI.JIANCHUAN_BAI_2,b,-,a,a,b,b,b,-,c,c,d,d,d,-,-,-,-,-,a,b,b,b,b,b,b,d,d,d
OM.MIXTECAN.JICALTEPEC_MIXTEC,d,d,-,d,d,c,-,d,-,d,d,c,-,-,d,d,c,-,-,-,-,-,d,c,-,c,-,-
ST.BAI.JINDUN_BAI,b,-,a,a,b,b,b,-,c,c,d,d,d,-,-,-,-,-,a,b,b,b,b,b,b,d,d,d
ST.JINGHPO.JINGPHO,a,a,a,b,a,b,b,a,a,b,a,b,b,a,b,a,b,b,b,a,b,b,c,d,d,b,b,d
ST.JINGHPO.JINGPHO_2,a,a,a,b,a,b,b,a,a,b,a,b,b,a,b,a,b,b,b,a,b,b,c,d,d,b,b,d
ST.BAI.JINXING_BAI,b,-,a,a,b,b,b,-,c,c,d,d,d,-,-,-,-,-,a,b,b,b,b,b,b,d,d,d
NC.NORTHERN_ATLANTIC.JOLA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Kxa.JU_KUNG.JUHOAN,b,a,a,b,b,b,a,c,c,d,d,d,c,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
NC.PLATOID.JUKUN_TAKUM,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Nad.NADAHUP.JUPDA,a,a,a,b,a,a,b,a,a,b,a,a,b,a,b,a,a,b,b,a,a,b,c,c,d,a,b,b
NC.BANTOID.K14_LWENA_1,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.K14_LWENA_2,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NWC.NORTHWEST_CAUCASIAN.KABARDIAN,a,a,a,-,a,-,b,a,a,-,a,-,b,a,-,a,-,b,-,a,-,b,-,-,-,-,b,-
Ijo.IJOID.KABOU,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
AA.BERBER.KABYLE,d,d,d,d,-,-,c,d,d,d,-,-,c,d,d,-,-,c,d,-,-,c,-,-,c,-,-,-
AA.BERBER.KABYLE_GREATER_KABYLIA_AT_MANGELLAT,d,d,d,d,-,-,c,d,d,d,-,-,c,d,d,-,-,c,d,-,-,c,-,-,c,-,-,-
IE.INDIC.KACHURA_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.CELEBIC.KADATUA,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Kad.KADUGLI.KADUGLI_2,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.KAGULU,-,-,-,-,-,-,-,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
NC.BANTOID.KAGURU,-,-,-,-,-,-,-,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
An.OCEANIC.KAIRIRU,a,-,b,b,b,b,a,-,b,b,b,b,a,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
NDa.LAK_DARGWA.KAJTAK_DARGI,a,a,a,a,-,a,b,a,a,a,-,a,b,a,a,-,a,b,a,-,a,b,-,a,b,-,-,b
Ele.TATE.KAKI_AE,a,-,a,b,a,b,-,-,a,b,a,b,-,-,-,-,-,-,b,a,b,-,c,d,-,b,-,-
TNG.MADANG.KALAM,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
An.SAMA_BAJAW.KALEROANG_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
An.LAMPUNGIC.KALIANDA_LAMPUNG_API,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Car.CARIBAN.KALINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Alt.MONGOLIC.KALMYK,a,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,-,-,b,-,-,-
TAP.GREATER_ALOR.KAMANG,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
TAP.GREATER_ALOR.KAMANG_2,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
TAP.GREATER_ALOR.KAMANG_KOLOMANE,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
TAP.GREATER_ALOR.KAMANG_LANGKURU,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
TAP.GREATER_ALOR.KAMANG_LETLEY,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
TAP.GREATER_ALOR.KAMANG_PIDO_I,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
TAP.GREATER_ALOR.KAMANG_PIDO_II,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
Tor.MARIENBERG.KAMASAU,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
Tor.MARIENBERG.KAMASAU_2,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
Tup.TUPI_GUARANI.KAMAYURA,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,a,c,c,c,a,a,a
Tu.TU.KAM_KA_KE,b,-,a,b,a,b,-,-,c,d,c,d,-,-,-,-,-,-,b,a,b,-,c,d,-,b,-,-
NC.CROSS_RIVER.KANA,b,b,b,-,b,a,a,d,d,-,d,c,c,d,-,d,c,c,-,d,c,c,-,-,-,c,c,a
Dra.SOUTHERN_DRAVIDIAN.KANNADA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
AA.WEST_CHADIC.KANO,b,b,b,a,-,b,a,d,d,c,-,d,c,d,c,-,d,c,c,-,d,c,-,b,a,-,-,c
Kpx.KAPIXANA.KANOE,a,-,a,b,a,a,-,-,a,b,a,a,-,-,-,-,-,-,b,a,a,-,c,c,-,a,-,-
Sah.WESTERN_SAHARAN.KANURI,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.KANYOK,-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.CENTRAL_LUZON.KAPAMPANGAN,d,d,d,-,-,c,c,d,d,-,-,c,c,d,-,-,c,c,-,-,c,c,-,-,-,-,-,a
TNG.ANGAN.KAPAU,a,a,-,b,b,b,-,a,-,b,b,b,-,-,b,b,b,-,-,-,-,-,d,d,-,d,-,-
Sep.SEPIK_HILL.KAPRIMAN,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
CSu.BONGO_BAGIRMI.KARA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Alt.TURKIC.KARACHAY_BALKAR,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
MGe.KARAJA.KARAJA,a,a,a,b,a,-,-,a,a,b,a,-,-,a,b,a,-,-,b,a,-,-,c,-,-,-,-,-
Alt.TURKIC.KARAKALPAK,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
IE.IRANIAN.KARAK_PASHTO,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
ST.KAREN.KAREN_SGAW,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
ST.BODIC.KARGIL_BALTI,a,a,-,a,a,b,b,a,-,a,a,b,b,-,a,a,b,b,-,-,-,-,a,b,b,b,b,d
ESu.NILOTIC.KARIMOJONG,d,d,d,d,d,d,c,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Kri.KARIRI.KARIRI,d,d,d,d,c,c,c,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
Kar.KAROK.KAROK,-,a,a,b,a,a,-,-,-,-,-,-,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.KARO_BATAK,-,-,-,-,-,-,-,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Tup.RAMARAMA.KARO_BRAZIL,a,a,a,b,a,-,-,a,a,b,a,-,-,a,b,a,-,-,b,a,-,-,c,-,-,-,-,-
Pan.PANOAN.KASHIBO_ALTO_AGUAYTIA,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
Pan.PANOAN.KASHIBO_BAJO_AGUAYTIA,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
Pan.PANOAN.KASHIBO_SAN_ALEJANDRO,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
Pan.PANOAN.KASHIBO_SUNGAROYACU,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
IE.INDIC.KASHMIRI,b,a,a,a,a,a,-,c,c,c,c,c,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.OCEANIC.KATAZI_BABATANA,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Kad.KADUGLI.KATCHA,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
Krd.KATLA_TIMA.KATLA,b,-,b,b,b,-,a,-,d,d,d,-,c,-,-,-,-,-,d,d,-,c,d,-,c,-,c,-
Kxa.JU_KUNG.KAUEN,b,a,a,b,b,b,a,c,c,d,d,d,c,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
An.OCEANIC.KAULONG,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
Tup.TUPI_GUARANI.KAYABI,a,a,a,b,-,a,-,a,a,b,-,a,-,a,b,-,a,-,b,-,a,-,-,c,-,-,-,-
ST.KAREN.KAYAH_LI_EASTERN,b,-,a,b,b,b,a,-,c,d,d,d,c,-,-,-,-,-,b,b,b,a,d,d,c,d,c,c
Tan.TANGKIC.KAYARDILD,-,-,a,a,a,a,a,-,-,-,-,-,-,-,-,-,-,-,a,a,a,a,a,a,a,a,a,a
An.SAMA_BAJAW.KAYUADI_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
Alt.TURKIC.KAZAN_TATAR,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
CSu.MORU_MAADI.KEDIRU,-,a,b,b,b,b,a,-,-,-,-,-,-,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
AA.CENTRAL_CUSHITIC.KEMANT,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
AA.CENTRAL_CUSHITIC.KEMANT_2,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
CSu.BONGO_BAGIRMI.KENGA,b,-,b,-,b,b,a,-,d,-,d,d,c,-,-,-,-,-,-,d,d,c,-,-,-,d,c,c
Tor.MARIENBERG.KENYARI,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
AA.EAST_CHADIC.KERA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
IE.INDIC.KESU_KHOWAR,a,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,-,-,b,-,-,-
Yen.YENISEIAN.KET,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
NC.BANTOID.KETE,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
Alt.TURKIC.KHALAJ_IRAN,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
ST.MAHAKIRANTI.KHALING,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
ST.MAHAKIRANTI.KHAM,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Ura.UGRIC.KHANTY,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
ST.BODIC.KHAPALU_BALTI,a,a,-,a,a,b,b,a,-,a,a,b,b,-,a,a,b,b,-,-,-,-,a,b,b,b,b,d
ST.BODIC.KHARMANG_BALTI,a,a,-,a,a,b,b,a,-,a,a,b,b,-,a,a,b,b,-,-,-,-,a,b,b,b,b,d
IE.INDIC.KHARMANG_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
AuA.KHASIAN.KHASI,b,b,b,b,a,a,a,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
AuA.KHASIAN.KHASI_2,b,b,b,b,a,a,a,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
IE.INDIC.KHINAR_CHILAS_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
AuA.KHMER.KHMER,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AuA.KHMER.KHMER_2,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AuA.PALAUNG_KHMUIC.KHMU,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
AuA.PALAUNG_KHMUIC.KHMU_2,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
KK.KHOE_KWADI.KHOEKHOEGOWAB,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
TK.KAM_TAI.KHORAT_THAI,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
KK.KHOE_KWADI.KHWE,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
ST.MAHAKIRANTI.KHWOPA_NEWAR,a,a,a,a,a,b,b,a,a,a,a,b,b,a,a,a,b,b,a,a,b,b,a,b,b,b,b,d
An.OCEANIC.KILIVILA,d,d,c,d,d,c,c,d,c,d,d,c,c,c,d,d,c,c,b,b,a,a,d,c,c,c,c,a
NC.BANTOID.KINAMI_DIBOLE,b,b,-,b,-,b,a,d,-,d,-,d,c,-,d,-,d,c,-,-,-,-,-,d,c,-,-,c
ST.BODIC.KINNAURI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
NC.BANTOID.KINYARWANDA,b,b,-,b,a,b,-,d,-,d,c,d,-,-,d,c,d,-,-,-,-,-,c,d,-,b,-,-
An.OCEANIC.KIRIBATI,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
NC.BANTOID.KITABWA,b,b,b,b,-,b,-,d,d,d,-,d,-,d,d,-,d,-,d,-,d,-,-,d,-,-,-,-
Kiw.KIWAIAN.KIWAI_SOUTHERN,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Pen.KLAMATH_MODOC.KLAMATH,-,-,-,-,-,-,-,-,-,-,-,-,-,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Mus.MUSKOGEAN.KOASATI,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
TNG.MADANG.KOBON,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
AuA.BAHNARIC.KOHO_CHIL,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
AuA.BAHNARIC.KOHO_SRE,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
TNG.KOIARIAN.KOITA,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
Tup.TUPI_GUARANI.KOKAMA,b,a,a,b,a,a,-,c,c,d,c,c,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
An.OCEANIC.KOKOTA,d,d,d,d,c,c,c,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
ST.BODO_GARO.KOK_BOROK_2,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
IE.INDIC.KOLAI_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Ijo.IJOID.KOLOKUMA,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
An.SAMA_BAJAW.KOLO_BAWAH_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
Yka.YUKAGHIR.KOLYMA_YUKAGIR,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Tor.KOMBIO_ARAPESH.KOMBIO,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Ura.PERMIC.KOMI_ZYRIAN,b,a,a,a,-,a,-,c,c,c,-,c,-,a,a,-,a,-,a,-,a,-,-,a,-,-,-,-
NC.BANTOID.KONDA_TWELIA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.KONGO_MBOMA,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
Pan.PANOAN.KONIBO,a,a,a,-,a,a,-,a,a,-,a,a,-,a,-,a,a,-,-,a,a,-,-,-,-,a,-,-
NC.GUR.KONNI,b,-,a,-,b,b,a,-,c,-,d,d,c,-,-,-,-,-,-,b,b,a,-,-,-,d,c,c
NC.BANTOID.KOONGO,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
KK.KHOE_KWADI.KORANA,-,-,-,-,-,-,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Kor.KOREAN.KOREAN,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Tuc.TUCANOAN.KOREGUAJE,d,c,c,d,-,d,c,c,c,d,-,d,c,a,b,-,b,a,b,-,b,a,-,d,c,-,-,c
Tuc.TUCANOAN.KOREGUAYE,d,c,c,d,-,d,c,c,c,d,-,d,c,a,b,-,b,a,b,-,b,a,-,d,c,-,-,c
NC.BANTOID.KOREKORE,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AuA.MUNDA.KORKU,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Son.SONGHAY.KOROBORO_SENNI,a,a,a,b,b,b,a,a,a,b,b,b,a,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
Man.WESTERN_MANDE.KOROKAKAN,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
NC.GUR.KOROMFE,b,-,a,b,b,b,a,-,c,d,d,d,c,-,-,-,-,-,b,b,b,a,d,d,c,d,c,c
CK.NORTHERN_CHUKOTKO_KAMCHATKAN.KORYAK,a,a,a,a,a,-,-,a,a,a,a,-,-,a,a,a,-,-,a,a,-,-,a,-,-,-,-,-
An.LAMPUNGIC.KOTA_AGUNG_LAMPUNG_API,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Son.SONGHAY.KOYRA_CHIINI,b,a,a,b,b,b,a,c,c,d,d,d,c,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
NDe.ATHAPASKAN.KOYUKON,a,a,a,b,a,-,-,a,a,b,a,-,-,a,b,a,-,-,b,a,-,-,c,-,-,-,-,-
MGe.BOTOCUDO.KRENAK,a,-,a,b,b,b,-,-,a,b,b,b,-,-,-,-,-,-,b,b,b,-,d,d,-,d,-,-
Kad.KADUGLI.KRONGO,d,-,d,d,d,d,c,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
An.LAMPUNGIC.KRUI_LAMPUNG_API,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
NDa.LEZGIC.KRYZ,a,-,a,a,a,a,-,-,a,a,a,a,-,-,-,-,-,-,a,a,a,-,a,a,-,a,-,-
NDa.LAK_DARGWA.KUBACHI_DARGI,a,a,a,a,-,a,b,a,a,a,-,a,b,a,a,-,a,b,a,-,a,b,-,a,b,-,-,b
NDa.LEZGIC.KUBA_LEZGI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
ESu.NILOTIC.KUKU,b,b,b,b,a,b,a,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
